title,score,revenue,year,released
Dumb and Dumber,6.5,247275374,1994,1994-12-16
Dumb and Dumber To,5.4,169837010,2014,2014-11-14
Dumb and Dumberer: When Harry Met Lloyd,4.1,39267515,2003,2003-06-13
Duplicity,5.7,60000000,2009,2009-03-20
Dylan Dog: Dead of Night,4.5,4634062,2010,2011-04-29
Eagle Eye,6.3,178066569,2008,2008-09-26
Earth to Echo,5.7,45300000,2014,2014-07-02
Easy A,6.7,74952305,2010,2010-09-17
Eat Pray Love,5.8,204594016,2010,2010-08-13
Ed Wood,7.3,5887457,1994,1994-10-07
Eddie the Eagle,7.2,46152800,2016,2016-02-26
Edge of Darkness,6.2,74901339,2010,2010-01-29
Edge of Tomorrow,7.6,370541256,2014,2014-06-06
Edward Scissorhands,7.5,53000000,1990,1990-12-14
Eight Below,6.7,120455994,2006,2006-02-17
El Mariachi,6.6,2040920,1992,1993-02-26
Elektra,4.8,56681566,2005,2005-01-14
Elf,6.4,173398518,2003,2003-11-07
Elizabeth,7.1,82150642,1998,1999-02-19
Elizabeth: The Golden Age,6.6,74237563,2007,2007-10-12
Elizabethtown,6.1,52034889,2005,2005-10-14
Ella Enchanted,5.9,27388767,2004,2004-04-09
Elysium,6.4,286140700,2013,2013-08-09
Employee of the Month,5.3,38368909,2006,2006-10-06
Enchanted,6.6,340487652,2007,2007-11-21
End of Days,5.5,211989043,1999,1999-11-24
End of Watch,7.2,48126384,2012,2012-09-21
Ender's Game,6.6,125537191,2013,2013-11-01
Endless Love,6.7,34077920,2014,2014-02-14
Enemy at the Gates,7.2,96976270,2001,2001-03-16
Enemy of the State,6.7,250649836,1998,1998-11-20
Enough,6.2,51801187,2002,2002-05-24
Entrapment,6,212404396,1999,1999-04-30
Epic,6.4,268426634,2013,2013-05-24
Equilibrium,6.9,5359645,2002,2002-12-06
Eragon,4.9,249288105,2006,2006-12-15
Eraser,5.6,242295562,1996,1996-06-21
Erin Brockovich,7.1,256271286,2000,2000-03-17
Escape from L.A.,5.6,42277365,1996,1996-08-09
Escape Plan,6.7,122915111,2013,2013-10-18
Eternal Sunshine of the Spotless Mind,7.9,72258126,2004,2004-03-19
EuroTrip,6.5,20796847,2004,2004-02-20
Evan Almighty,5.3,173000000,2007,2007-06-22
Event Horizon,6.5,26673242,1997,1997-08-15
Ever After: A Cinderella Story,6.8,65705772,1998,1998-07-31
Everest,6.7,203427584,2015,2015-09-25
Everything Must Go,6,2614773,2010,2011-10-14
Evil Dead,6.4,97542952,2013,2013-04-05
Evil Dead II,7.6,5923044,1987,1987-03-13
Evita,5.9,141047179,1996,1997-01-10
Ex Machina,7.6,36869414,2014,2015-04-24
Executive Decision,5.8,121969216,1996,1996-03-15
Exit Wounds,5.3,79958599,2001,2001-03-16
Exodus: Gods and Kings,5.6,268031828,2014,2014-12-12
Exorcist: The Beginning,4.7,78000586,2004,2004-08-20
Extract,5.7,10848783,2009,2009-09-04
Extreme Measures,5.7,17380126,1996,1996-09-27
Extremely Loud & Incredibly Close,6.9,55247881,2011,2012-01-20
Eyes Wide Shut,7.1,162091208,1999,1999-07-16
Face/Off,6.8,245676146,1997,1997-06-27
Facing the Giants,6.6,10178331,2006,2006-09-29
Failure to Launch,5.5,88715192,2006,2006-03-10
Fair Game,6.5,24188922,1995,1995-11-03
Fair Game,6.5,24188922,2010,2010-12-03
Fantasia 2000,7,90874570,1999,2000-06-16
Fantastic 4: Rise of the Silver Surfer,5.4,289047763,2007,2007-06-15
Fantastic Four,4.4,167977596,2005,2005-07-08
Fantastic Four,4.4,167977596,2015,2015-08-07
Fantastic Mr. Fox,7.5,46471023,2009,2009-11-25
Far from Heaven,6.9,29027914,2002,2003-01-10
Fast Five,7.1,626137675,2011,2011-04-29
Fatal Attraction,6.6,320145693,1987,1987-09-18
Fear and Loathing in Las Vegas,7.2,10680275,1998,1998-05-22
FearDotCom,3.2,18902015,2002,2002-08-30
Fever Pitch,5.9,50451307,2005,2005-04-08
Fifty Shades of Grey,5.2,571006128,2015,2015-02-13
Fight Club,8.3,100853753,1999,1999-10-15
Final Destination,6.4,53302314,2000,2000-03-17
Final Destination 2,5.9,90426405,2003,2003-01-31
Final Destination 5,5.9,157887643,2011,2011-08-12
Final Fantasy: The Spirits Within,5.9,85131830,2001,2001-07-11
Find Me Guilty,6.5,2636637,2006,2006-03-17
Finding Forrester,7,80049764,2000,2001-01-12
Finding Nemo,7.6,940335536,2003,2003-05-30
Finding Neverland,7.2,116766556,2004,2004-12-17
Fireproof,7,33456317,2008,2008-09-26
Firewall,5.6,82800000,2006,2006-02-10
First Knight,5.9,127600435,1995,1995-07-07
Flags of Our Fathers,6.7,65900249,2006,2006-10-20
Flatliners,6.3,61489265,1990,1990-08-10
Fled,5.2,17193231,1996,1996-07-19
Flicka,6.1,21000000,2006,2006-10-20
Flight,6.5,161772375,2012,2012-11-02
Flight of the Phoenix,5.7,21009180,2004,2004-12-17
Flightplan,6.1,223387299,2005,2005-09-23
Flipped,7.4,1755212,2010,2010-09-10
Flipper,5.3,20080020,1996,1996-05-17
Flirting with Disaster,6.3,14702438,1996,1996-04-12
Florence Foster Jenkins,6.6,48902953,2016,2016-08-12
Flubber,5.3,177977226,1997,1997-11-26
Flushed Away,6,64459316,2006,2006-11-03
Flyboys,6.3,17800000,2006,2006-09-22
Focus,6.7,153962963,2015,2015-02-27
Fool's Gold,5.4,111231041,2008,2008-02-08
Footloose,6.4,80035402,2011,2011-10-14
"For a Good Time, Call...",5.8,1243961,2012,2012-11-02
Forgetting Sarah Marshall,6.4,105173115,2008,2008-04-18
Forrest Gump,8.2,677945399,1994,1994-07-06
Fortress,5.7,6739141,1992,1993-09-03
Four Brothers,6.7,92374674,2005,2005-08-12
Four Rooms,6.5,4300000,1995,1995-12-25
Four Weddings and a Funeral,6.6,254700832,1994,1994-04-15
Frailty,7,13110448,2001,2002-04-12
Frankenweenie,6.6,35287788,2012,2012-10-05
Freaky Friday,6,110230332,2003,2003-08-06
Freddy vs. Jason,5.8,114908830,2003,2003-08-15
Freddy's Dead: The Final Nightmare,5.1,34872033,1991,1991-09-13
Free State of Jones,6.6,25035950,2016,2016-06-24
Freeheld,7.1,573335,2015,2016-03-04
Frequency,7,68106245,2000,2000-04-28
Frida,7.3,56298474,2002,2002-11-22
Friday,7,28215918,1995,1995-04-26
Friday After Next,6,33526835,2002,2002-11-22
Friday the 13th Part VII: The New Blood,5.3,19170001,1988,1988-05-13
Friday the 13th Part VIII: Jason Takes Manhattan,4.8,14000000,1989,1989-07-28
Friends with Benefits,6.5,150483765,2011,2011-07-22
Friends with Money,5.1,13368437,2006,2006-04-21
Fright Night,6,24922237,2011,2011-08-19
From a Whisper to a Scream,6.8,1400000,1987,1987-09-04
From Dusk Till Dawn,6.9,25836616,1996,1996-01-19
From Hell,6.6,74558115,2001,2001-10-19
From Justin to Kelly,3,4922166,2003,2003-06-20
Frozen,7.3,1274219009,2013,2013-11-27
Full Frontal,4.8,2506446,2002,2002-08-02
Fun Size,5.5,11417362,2012,2012-10-26
Fun with Dick and Jane,5.9,202026112,2005,2005-12-21
Funny Games,6.3,7938872,2007,2008-09-26
Funny People,5.7,61458982,2009,2009-07-31
Fur: An Imaginary Portrait of Diane Arbus,5.8,2281089,2006,2007-03-02
Furious 7,7.3,1506249360,2015,2015-04-03
Furry Vengeance,4.6,39340177,2010,2010-04-30
Fury,7.4,211817906,2014,2014-10-17
G-Force,5.1,292817841,2009,2009-07-24
G.I. Jane,6,48169156,1997,1997-08-22
G.I. Joe: Retaliation,5.4,371876278,2013,2013-03-28
G.I. Joe: The Rise of Cobra,5.6,302469017,2009,2009-08-07
Galaxy Quest,6.9,90683916,1999,1999-12-25
Gamer,5.6,40828540,2009,2009-09-04
Gangs of New York,7.1,193772504,2002,2002-12-20
Gangster Squad,6.2,105200903,2013,2013-01-11
Garden State,7.1,26781723,2004,2004-08-20
Garfield,5.2,200804534,2004,2004-06-11
Gattaca,7.5,12532777,1997,1997-10-24
Get Carter,4.8,19412993,2000,2000-10-06
Get Hard,5.9,111811453,2015,2015-03-27
Get Rich or Die Tryin',6.3,46442528,2005,2005-11-09
Get Shorty,6.4,115101622,1995,1995-10-20
Get Smart,6,230685453,2008,2008-06-20
Ghost,6.9,505000000,1990,1990-07-13
Ghost Rider,5.2,228738393,2007,2007-02-16
Ghost Rider: Spirit of Vengeance,4.7,149217355,2011,2012-02-17
Ghost Ship,5.3,68349884,2002,2002-10-25
Ghostbusters,5.3,229147509,2016,2016-07-15
Ghosts of Mars,4.8,14010832,2001,2001-08-24
Gigli,3.5,7266209,2003,2003-08-01
Girl 6,5.7,4939939,1996,1996-03-22
Gladiator,7.9,457640427,2000,2000-05-05
Glengarry Glen Ross,7.5,10725228,1992,1992-10-02
Glitter,3.4,5271666,2001,2001-09-21
Glory,7.4,26828365,1989,1990-02-16
Go,7,28451622,1999,1999-04-09
Gods and Generals,6.1,12923936,2003,2003-02-21
Gods and Monsters,6.8,6451628,1998,1998-11-04
Gods of Egypt,5.3,150680864,2016,2016-02-26
Godsend,4.7,30114487,2004,2004-04-30
Godzilla 2000,5.9,10037390,1999,2000-08-18
Going the Distance,6,42045846,2010,2010-09-03
GoldenEye,6.6,352194034,1995,1995-11-17
Gone Girl,7.9,369330363,2014,2014-10-03
Gone in Sixty Seconds,6.1,237202299,2000,2000-06-09
Good Luck Chuck,5.5,59192128,2007,2007-09-21
"Good Morning, Vietnam",7.1,123922370,1987,1988-01-15
"Good Night, and Good Luck.",6.8,54600000,2005,2005-11-04
Good Will Hunting,7.9,225933435,1997,1998-01-09
GoodFellas,8.2,46836394,1990,1990-09-21
Goosebumps,6.2,158162788,2015,2015-10-16
Gosford Park,6.8,87754044,2001,2002-01-18
Gossip,5.5,5108820,2000,2000-04-21
Gothika,5.8,141591324,2003,2003-11-21
Gran Torino,7.8,269958228,2008,2009-01-09
Gravity,7.3,716392705,2013,2013-10-04
Green Lantern,5.1,219851172,2011,2011-06-17
Green Room,6.7,3220371,2015,2016-05-13
Green Zone,6.4,94882889,2010,2010-03-12
Gremlins 2: The New Batch,6.2,41482207,1990,1990-06-15
Gridiron Gang,6.5,41480851,2006,2006-09-15
Grindhouse,6.8,25037897,2007,2007-04-06
Groundhog Day,7.4,70906973,1993,1993-02-12
Grown Ups,6,271430189,2010,2010-06-25
Grudge Match,6,44907260,2013,2013-12-25
Guardians of the Galaxy,7.9,773328629,2014,2014-08-01
Guess Who,5.5,68915888,2005,2005-03-25
Gulliver's Travels,4.9,237382724,2010,2010-12-25
Gun Shy,5.4,1631839,2000,2000-02-04
Hackers,6.2,7563728,1995,1995-09-15
"Hail, Caesar!",5.7,63647656,2016,2016-02-05
Hairspray,6.5,90450008,1988,1988-02-26
Hairspray,6.5,90450008,2007,2007-07-20
Half Baked,6.4,17460020,1998,1998-01-16
Half Nelson,6.5,4911725,2006,2006-09-22
Hall Pass,5.4,83160734,2011,2011-02-25
Halloween,7.4,70000000,2007,2007-08-31
Halloween 4: The Return of Michael Myers,5.9,17768757,1988,1988-10-21
Halloween II,5.1,39421467,2009,2009-08-28
Halloween: Resurrection,4.5,37664855,2002,2002-07-12
Halloween: The Curse of Michael Myers,5,15116634,1995,1995-09-29
Hancock,6.2,624029371,2008,2008-07-02
Hanging Up,5,36037909,2000,2000-02-18
Hanna,6.5,63782078,2011,2011-04-08
Hannah Montana: The Movie,6,155545279,2009,2009-04-10
Hannibal Rising,6,82169884,2007,2007-02-09
Happy Feet,5.9,384335608,2006,2006-11-17
Happy Feet Two,5.8,150406466,2011,2011-11-18
Happy Gilmore,6.5,41205099,1996,1996-02-16
"Happy, Texas",5.5,1943649,1999,1999-12-03
Hard Candy,6.8,7022209,2005,2006-04-28
Hard Rain,5.5,19870567,1998,1998-01-16
Hardball,6.3,40222729,2001,2001-09-14
Harley Davidson and the Marlboro Man,6.1,7434726,1991,1991-08-23
Harold & Kumar Escape from Guantanamo Bay,6.2,43493123,2008,2008-04-25
Harold & Kumar Go to White Castle,6.6,23936908,2004,2004-07-30
Harry Brown,6.7,10329747,2009,2010-05-14
Harry Potter and the Chamber of Secrets,7.4,876688482,2002,2002-11-15
Harry Potter and the Goblet of Fire,7.5,895921036,2005,2005-11-18
Harry Potter and the Half-Blood Prince,7.4,933959197,2009,2009-07-15
Harry Potter and the Order of the Phoenix,7.4,938212738,2007,2007-07-11
Harry Potter and the Prisoner of Azkaban,7.7,789804554,2004,2004-06-04
Harsh Times,6.3,5967038,2005,2006-11-10
Hart's War,5.9,32287044,2002,2002-02-15
He Got Game,6.7,21567853,1998,1998-05-01
Head Over Heels,5.3,10424470,2001,2001-02-02
Hearts in Atlantis,6.4,24185781,2001,2001-09-28
Heaven is for Real,6,101332962,2014,2014-04-16
Heist,5.6,4100000,2001,2001-11-09
Hellboy,6.5,99318987,2004,2004-04-02
Hellboy II: The Golden Army,6.5,160388063,2008,2008-07-11
Hellraiser,6.9,14564027,1987,1987-09-18
Her,7.9,47351251,2013,2014-01-10
Herbie Fully Loaded,5.1,66002004,2005,2005-06-22
Hercules,5.6,243400000,1997,1997-06-27
Hercules,5.6,243400000,2014,2014-07-25
Hero,7.2,177394432,1992,1992-10-02
Hero,7.2,177394432,2002,2004-08-27
Hesher,6.7,382946,2010,2011-06-25
Hidalgo,6.5,108103450,2004,2004-03-05
Hide and Seek,6.1,122644820,2005,2005-01-28
High Crimes,6.1,63781810,2002,2002-04-05
High Fidelity,7,47126295,2000,2000-03-31
Highlander,6.8,5900000,1986,1986-03-07
Highlander: Endgame,4.4,15843608,2000,2000-09-01
Highlander: The Final Dimension,4.5,36800000,1994,1995-01-27
Hitch,6.4,368100420,2005,2005-02-11
Hocus Pocus,6.4,39514713,1993,1993-07-16
Hollow Man,5.6,190213455,2000,2000-08-04
Hollywood Homicide,5,51142659,2003,2003-06-13
Home,6.8,368871007,2015,2015-03-27
Home Alone,7.1,476684675,1990,1990-11-16
Home Alone 2: Lost in New York,6.3,358991681,1992,1992-11-20
Home Fries,4.8,10443316,1998,1998-11-25
Home on the Range,5.7,103951461,2004,2004-04-02
Homefront,6.4,43058898,2013,2013-11-27
Honey,6,62646763,2003,2003-12-05
Hoodwinked!,5.9,51053787,2005,2006-01-13
Hook,6.6,300854823,1991,1991-12-11
Hop,5.5,183953723,2011,2011-04-01
Hope Springs,5.8,114281051,2012,2012-08-08
Horrible Bosses,6.5,117000000,2011,2011-07-08
Horrible Bosses 2,6.1,107670357,2014,2014-11-26
Hostage,6.2,77944725,2005,2005-03-11
Hostel,5.7,80578934,2005,2006-01-06
Hostel: Part II,5.6,35619521,2007,2007-06-08
Hot Pursuit,5.4,51680201,2015,2015-05-08
Hot Tub Time Machine,6,64572262,2010,2010-03-26
Hot Tub Time Machine 2,5,12314651,2015,2015-02-20
Hotel Rwanda,7.5,38000000,2004,2005-02-04
Hotel Transylvania,6.8,358375603,2012,2012-09-28
Hotel Transylvania 2,6.7,473226958,2015,2015-09-25
House at the End of the Street,5.6,44287131,2012,2012-09-21
House of 1000 Corpses,6,16829545,2003,2003-04-11
House of Sand and Fog,7,16942795,2003,2004-01-09
House on Haunted Hill,5.5,40846082,1999,1999-10-29
How Do You Know,4.9,48668907,2010,2010-12-17
How High,6.3,31155435,2001,2001-12-21
How Stella Got Her Groove Back,6,37672350,1998,1998-08-14
How the Grinch Stole Christmas,6.2,345141403,2000,2000-11-17
How to Be Single,5.9,112343513,2016,2016-02-12
How to Lose a Guy in 10 Days,6.3,177371441,2003,2003-02-07
How to Lose Friends & Alienate People,6.2,17286299,2008,2008-10-03
How to Train Your Dragon,7.5,494878759,2010,2010-03-26
How to Train Your Dragon 2,7.6,609123048,2014,2014-06-13
Howard the Duck,5.1,37962774,1986,1986-08-01
Howl's Moving Castle,8.2,234710455,2004,2005-06-17
Hudson Hawk,5.4,17218080,1991,1991-05-24
Hugo,7,185770160,2011,2011-11-23
Hulk,5.3,245360480,2003,2003-06-20
Hustle & Flow,6.9,23563727,2005,2005-07-22
I Am Legend,6.9,585349010,2007,2007-12-14
I Am Number Four,5.9,144492830,2011,2011-02-18
I Am Sam,7.2,92542418,2001,2002-01-25
I Know What You Did Last Summer,5.6,125586134,1997,1997-10-17
"I Love You, Man",6.5,91636986,2009,2009-03-20
I Spit on Your Grave,6.3,572809,2010,2011-03-04
I Spy,5.2,33561137,2002,2002-11-01
I Still Know What You Did Last Summer,5.1,40002112,1998,1998-11-13
"I, Frankenstein",5,71154592,2014,2014-01-24
"I, Robot",6.7,347234916,2004,2004-07-16
Ice Age,7.1,383257136,2002,2002-03-15
Ice Age: Continental Drift,6.2,877244782,2012,2012-07-13
Ice Age: Dawn of the Dinosaurs,6.5,886686817,2009,2009-07-01
Ice Age: The Meltdown,6.5,660940780,2006,2006-03-31
Identity,7.1,90259536,2003,2003-04-25
Idle Hands,6.1,4152230,1999,1999-04-30
If I Stay,7.3,78874843,2014,2014-08-22
Igby Goes Down,6.5,4777465,2002,2002-10-04
Immortals,5.7,226904017,2011,2011-11-11
In Bruges,7.4,34533783,2008,2008-02-29
In the Heart of the Sea,6.5,93820758,2015,2015-12-11
In the Land of Blood and Honey,5.8,303877,2011,2012-02-16
In the Land of Women,5.8,17500000,2007,2007-04-20
In Time,6.7,173930596,2011,2011-10-28
Incendies,7.9,7103838,2010,2011-07-29
Inception,8.1,825532764,2010,2010-07-16
Independence Day,6.7,816969268,1996,1996-07-03
Independence Day: Resurgence,4.9,389681935,2016,2016-06-24
Indiana Jones and the Kingdom of the Crystal Skull,5.7,786636033,2008,2008-05-22
Indiana Jones and the Last Crusade,7.6,474171806,1989,1989-05-24
Infamous,6.4,1151330,2006,2006-10-13
Inglourious Basterds,7.9,319131050,2009,2009-08-21
Inherent Vice,6.5,11110975,2014,2015-01-09
Inside Llewyn Davis,7.2,32935319,2013,2014-01-10
Inside Man,7.3,184376254,2006,2006-03-24
Inside Out,8,857611174,2015,2015-06-19
Insidious,6.8,97009150,2010,2011-04-01
Insomnia,6.8,113714830,2002,2002-05-24
Instructions Not Included,7.5,99067206,2013,2013-09-06
Insurgent,6.2,295238201,2015,2015-03-20
Interstellar,8.1,675120017,2014,2014-11-07
Into the Blue,5.8,44434439,2005,2005-09-30
Into the Storm,5.8,160602194,2014,2014-08-08
Into the Wild,7.8,56255142,2007,2007-10-19
Into the Woods,5.6,212902372,2014,2014-12-25
Intolerable Cruelty,5.8,119940815,2003,2003-10-10
Invaders from Mars,5.5,4884663,1986,1986-06-06
Invictus,7,122233971,2009,2009-12-11
Ip Man 3,6.5,156844753,2015,2015-12-24
Iron Man,7.4,585174222,2008,2008-05-02
Iron Man 2,6.6,623933331,2010,2010-05-07
Iron Man 3,6.8,1215439994,2013,2013-05-03
Ishtar,4.2,14375181,1987,1987-05-15
It Follows,6.6,14674076,2014,2015-03-27
It's Complicated,6.2,219103655,2009,2009-12-25
It's Kind of a Funny Story,6.9,6491240,2010,2010-10-08
J. Edgar,6,84606030,2011,2011-11-11
Jack and Jill,4.1,149673788,2011,2011-11-11
Jack Reacher,6.3,218340595,2012,2012-12-21
Jack Ryan: Shadow Recruit,5.9,50549107,2014,2014-01-17
Jack the Giant Slayer,5.5,197687603,2013,2013-03-01
Jackie Brown,7.3,39673162,1997,1997-12-25
Jade,5.2,9851610,1995,1995-10-13
Jarhead,6.6,96889998,2005,2005-11-04
Jason Bourne,5.9,415484914,2016,2016-07-29
Jason Goes to Hell: The Final Friday,4.2,15938065,1993,1993-08-13
Jason X,4.5,16951798,2001,2002-04-26
Jawbreaker,5.9,3076820,1999,1999-02-19
Jaws: The Revenge,3.5,51881013,1987,1987-07-17
Jay and Silent Bob Strike Back,6.4,33788161,2001,2001-08-24
Jefferson in Paris,5.2,2474000,1995,1995-03-31
Jennifer's Body,5.3,31556061,2009,2009-09-18
Jerry Maguire,6.7,273552592,1996,1996-12-13
Jersey Boys,6.8,67347013,2014,2014-06-20
Jersey Girl,5.8,36098382,2004,2004-03-26
JFK,7.5,205405498,1991,1991-12-20
Jimmy Neutron: Boy Genius,5.6,80936232,2001,2001-12-21
Jingle All the Way,5.5,129832389,1996,1996-11-22
Joe,6.5,2365467,2013,2014-04-11
Joe Dirt,5.5,30987695,2001,2001-04-11
John Carter,6.1,284139100,2012,2012-03-09
John Q,7,102244770,2002,2002-02-15
Johnny English,6,160583018,2003,2003-07-18
Johnny English Reborn,6,160078586,2011,2011-10-21
Jonah Hex,4.4,10539000,2010,2010-06-18
Journey 2: The Mysterious Island,5.8,355692760,2012,2012-02-10
Journey to the Center of the Earth,5.8,101702060,2008,2008-07-11
Joy,6.4,101134059,2015,2015-12-25
Joy Ride,6.3,36642838,2001,2001-10-05
Julie & Julia,6.6,129540499,2009,2009-08-07
Jumper,5.9,222231186,2008,2008-02-14
Jumping the Broom,6,37710610,2011,2011-05-06
Juno,7,231411584,2007,2007-12-25
Jupiter Ascending,5.2,183987723,2015,2015-02-06
Jurassic Park,7.6,920100000,1993,1993-06-11
Jurassic Park III,5.7,368780809,2001,2001-07-18
Jurassic World,6.5,1513528810,2015,2015-06-12
Just Go with It,6.3,214918407,2011,2011-02-11
Just Like Heaven,6.5,102854431,2005,2005-09-16
Just Married,5.3,101564935,2003,2003-01-10
Just My Luck,5.8,38159905,2006,2006-05-12
K-19: The Widowmaker,6.1,35168966,2002,2002-07-19
K-PAX,7.1,50315140,2001,2001-10-26
Keanu,6,20566327,2016,2016-04-29
Keeping the Faith,5.9,37036004,2000,2000-04-14
Kick-Ass,7.1,96188903,2010,2010-04-16
Kick-Ass 2,6.3,60700000,2013,2013-08-16
Kicking & Screaming,5.6,56070433,2005,2005-05-13
Kill Bill: Vol. 1,7.7,180949000,2003,2003-10-10
Kill Bill: Vol. 2,7.6,152159461,2004,2004-04-16
Kill the Messenger,6.6,2450846,2014,2015-04-10
Killer Elite,6.1,57777106,2011,2011-09-23
Killer Joe,6.5,3665069,2011,2012-06-29
Killers,5.7,98159963,2010,2010-06-04
Killing Them Softly,5.8,37930465,2012,2012-11-30
Kindergarten Cop,5.8,201957688,1990,1990-12-21
King Kong,6.6,550000000,2005,2005-12-14
Kingdom of Heaven,6.6,211643158,2005,2005-05-06
Kingpin,6.7,25023434,1996,1996-07-26
Kiss Kiss Bang Bang,7.2,15785148,2005,2005-11-18
Kiss of the Dragon,6.4,64437847,2001,2001-07-06
Kiss the Girls,6.2,60527873,1997,1997-10-03
Kissing Jessica Stein,5.9,10013424,2001,2002-04-05
Knight and Day,5.9,261930431,2010,2010-06-23
Knocked Up,6.2,219076518,2007,2007-06-01
Knowing,5.9,155446362,2009,2009-03-20
Krampus,5.9,61548707,2015,2015-12-04
Kundun,6.8,5684789,1997,1998-01-16
Kung Fu Hustle,7.2,100914445,2004,2005-04-22
Kung Fu Panda,6.9,631744560,2008,2008-06-06
Kung Fu Panda 2,6.7,665692281,2011,2011-05-26
Kung Fu Panda 3,6.7,521170825,2016,2016-01-29
L.A. Confidential,7.7,126216940,1997,1997-09-19
La Bamba,6.8,54215416,1987,1987-07-24
Labor Day,6.7,20275812,2013,2014-01-31
Ladder 49,6.2,74541707,2004,2004-10-01
Lady in the Water,5.3,42285169,2006,2006-07-21
Lake Placid,5.5,56870414,1999,1999-07-16
Lakeview Terrace,5.9,27640028,2008,2008-09-19
Land of the Lost,5.3,68688831,2009,2009-06-05
Lara Croft Tomb Raider: The Cradle of Life,5.5,156505388,2003,2003-07-25
Lara Croft: Tomb Raider,5.7,274703340,2001,2001-06-15
Larry Crowne,5.7,36160375,2011,2011-07-01
Lars and the Real Girl,7.1,11293663,2007,2007-11-02
Last Action Hero,6.1,137298489,1993,1993-06-18
Last Vegas,6.4,134402450,2013,2013-11-01
Latter Days,6.7,819939,2003,2004-07-01
Law Abiding Citizen,7.2,126690726,2009,2009-10-16
Leap Year,6.4,29922472,2010,2010-01-08
Leatherheads,5.7,41299492,2008,2008-04-04
Left Behind,3.7,19682924,2014,2014-10-03
Legally Blonde,6.1,141774679,2001,2001-07-13
"Legally Blonde 2: Red, White & Blonde",5.1,124914842,2003,2003-07-02
Legend,6.7,42972994,2015,2015-11-20
Legend of the Guardians: The Owls of Ga'Hoole,6.5,140073390,2010,2010-09-24
Legends of the Fall,7.2,160638883,1994,1995-01-13
Legion,5.2,67918658,2010,2010-01-22
Les Misérables,7.1,441809770,2012,2012-12-25
Let Me In,6.7,24145613,2010,2010-10-01
Let's Be Cops,6.4,136621271,2014,2014-08-13
Lethal Weapon 3,6.4,321731527,1992,1992-05-15
Lethal Weapon 4,6.3,285444603,1998,1998-07-10
Letters from Iwo Jima,7.2,68673228,2006,2007-02-02
Liar Liar,6.4,181000000,1997,1997-03-21
Licence to Kill,5.9,156167015,1989,1989-07-14
License to Wed,5.2,69307224,2007,2007-07-03
Life of Pi,7.2,609016565,2012,2012-11-21
Lights Out,6.3,44107032,2016,2016-07-22
Like Crazy,6.4,3542353,2011,2012-01-27
Lilo & Stitch,7.1,145771527,2002,2002-06-21
Lincoln,6.7,275293450,2012,2012-11-16
Lions for Lambs,6,63215872,2007,2007-11-09
Little Black Book,5.2,22034832,2004,2004-08-06
Little Children,6.9,14821658,2006,2007-02-09
Little Fockers,5.4,310650585,2010,2010-12-22
Little Miss Sunshine,7.5,100523181,2006,2006-08-18
Little Shop of Horrors,6.6,38748395,1986,1986-12-19
Live Free or Die Hard,6.4,383531464,2007,2007-06-27
Lockout,5.8,32204030,2012,2012-04-13
Lolita,7.3,9250000,1997,1998-09-25
London Has Fallen,5.8,205754447,2016,2016-03-04
Lone Star,6.9,13269963,1996,1996-06-21
Lone Survivor,7.4,149295601,2013,2014-01-10
Looney Tunes: Back in Action,5.6,68514844,2003,2003-11-14
Looper,6.6,47042000,2012,2012-09-28
Lord of War,7,24127895,2005,2005-09-16
Lords of Dogtown,7,13411957,2005,2005-06-03
Lost in Space,5,136159423,1998,1998-04-03
Lost in Translation,7.3,119723856,2003,2003-10-03
Love & Basketball,7.4,27728118,2000,2000-04-21
Love & Other Drugs,6.6,102820008,2010,2010-11-24
Love Actually,7,244931766,2003,2003-11-14
Love Happens,5.6,36133014,2009,2009-09-18
Love in the Time of Cholera,6.4,4607608,2007,2007-11-16
Love the Coopers,5.4,24000000,2015,2015-11-13
Lucky Number Slevin,7.4,56308881,2006,2006-04-07
Lucy,6.3,126546825,2014,2014-07-25
MacGruber,5.1,6110000,2010,2010-05-21
Machete,6.3,31327899,2010,2010-09-03
Machete Kills,5.3,15008161,2013,2013-10-11
Machine Gun Preacher,6.4,2527904,2011,2012-02-03
Mad City,5.9,10541523,1997,1997-11-07
Mad Max: Fury Road,7.2,378858340,2015,2015-05-15
Madagascar,6.6,532680671,2005,2005-05-27
Madagascar 3: Europe's Most Wanted,6.4,746921274,2012,2012-06-08
Madagascar: Escape 2 Africa,6.2,603900354,2008,2008-11-07
Made of Honor,6,84601681,2008,2008-05-02
Madea's Family Reunion,6,57231524,2006,2006-02-24
Maggie,5.2,187112,2015,2015-05-08
Magic Mike,6.1,167221571,2012,2012-06-29
Magic Mike XXL,6.3,122513057,2015,2015-07-01
Magnolia,7.5,48451803,1999,2000-01-07
Maid in Manhattan,5.6,154906693,2002,2002-12-13
Major League,6.6,49797148,1989,1989-04-07
Malcolm X,7.2,48169908,1992,1992-11-18
Maleficent,7,758539785,2014,2014-05-30
Mallrats,6.8,2122561,1995,1995-10-20
Mamma Mia!,6.4,609841637,2008,2008-07-18
Man of Steel,6.5,662845518,2013,2013-06-14
Man of the Year,5.8,41237648,2006,2006-10-13
Man on a Ledge,6.2,46221189,2012,2012-01-27
Man on Fire,7.3,130293714,2004,2004-04-23
Man on the Moon,6.9,47434430,1999,1999-12-22
Mandela: Long Walk to Freedom,6.5,27330000,2013,2013-12-25
Margaret,6.1,46495,2011,2012-06-01
