title	genre	score	revenue	released
The Darkest Hour	Action	4.8	64626786	2011-12-25
The Day After Tomorrow	Action	6.2	544272402	2004-05-28
The Devil's Own	Action	5.9	140807547	1997-03-26
The Dukes of Hazzard	Action	5.1	110803676	2005-08-05
The Equalizer	Action	7.1	192330738	2014-09-26
The Expendables	Action	6	274470394	2010-08-13
The Expendables 2	Action	6.1	312573423	2012-08-17
The Expendables 3	Action	6.1	206172544	2014-08-15
The Fan	Action	5.7	18626419	1996-08-16
The Fast and the Furious	Action	6.6	207283925	2001-06-22
The Fast and the Furious: Tokyo Drift	Action	6.1	158468292	2006-06-16
The Fifth Element	Action	7.3	263920180	1997-05-09
The Finest Hours	Action	6.3	52099090	2016-01-29
The Forbidden Kingdom	Action	6.3	127906624	2008-04-18
The Fugitive	Action	7.2	368875760	1993-08-06
The Golden Child	Action	5.6	79817939	1986-12-12
The Grandmaster	Action	6.3	64076736	2013-08-30
The Great Raid	Action	6.8	10166502	2005-08-12
The Green Hornet	Action	5.5	227817248	2011-01-14
The Grey	Action	6.4	77278331	2012-01-27
The Gunman	Action	5.5	13644292	2015-03-20
The Heat	Action	6.5	158674180	2013-06-28
The Host	Action	6.7	88489643	2013-03-29
The Host	Action	6	63327201	2013-03-29
The Hunger Games: Catching Fire	Action	7.4	847423452	2013-11-22
The Hunger Games: Mockingjay - Part 1	Action	6.6	752100229	2014-11-21
The Hunger Games: Mockingjay - Part 2	Action	6.6	653428261	2015-11-20
The Hunt for Red October	Action	7.2	199200000	1990-03-02
The Hunted	Action	6	34234008	1995-02-24
The Hunted	Action	6	34234008	2003-03-14
The Huntsman: Winter's War	Action	6	164602163	2016-04-22
The Iceman	Action	6.4	1969193	2013-10-18
The Incredible Hulk	Action	6.1	163712074	2008-06-13
The International	Action	6	60161391	2009-02-13
The Island	Action	6.5	162949164	2005-07-22
The Italian Job	Action	6.6	176070171	2003-05-30
The Jackal	Action	6.1	159330280	1997-11-14
The Karate Kid	Action	6.9	90815558	2010-06-11
The Kingdom	Action	6.5	86658558	2007-09-28
The Last Airbender	Action	4.7	318502923	2010-07-01
The Last Castle	Action	7	27642707	2001-10-19
The Last Legion	Action	5	25303038	2007-08-17
The Last of the Mohicans	Action	7.1	75505856	1992-09-25
The Last Samurai	Action	7.3	456758981	2003-12-05
The Last Witch Hunter	Action	5.7	146936910	2015-10-23
The League of Extraordinary Gentlemen	Action	5.7	179265204	2003-07-11
The Legend of Hercules	Action	4.4	61279452	2014-01-10
The Legend of Tarzan	Action	5.5	356743061	2016-07-01
The Legend of Zorro	Action	5.9	142400065	2005-10-28
The Living Daylights	Action	6.2	191185897	1987-07-31
The Lone Ranger	Action	5.9	89289910	2013-07-03
The Long Kiss Goodnight	Action	6.5	89456761	1996-10-11
The Losers	Action	6.2	23580000	2010-04-23
The Lost World: Jurassic Park	Action	6.2	229074524	1997-05-23
The Man from U.N.C.L.E.	Action	7.1	108145109	2015-08-14
The Man Who Knew Too Little	Action	6.5	13801755	1997-11-14
The Man with the Iron Fists	Action	5.2	15608545	2012-11-02
The Marine	Action	5	22165608	2006-10-13
The Mask of Zorro	Action	6.3	250288523	1998-07-17
The Matrix	Action	7.9	463517383	1999-03-31
The Matrix Reloaded	Action	6.7	738599701	2003-05-15
The Maze Runner	Action	7	348319861	2014-09-19
The Mechanic	Action	6.3	51070807	2011-01-28
The Mortal Instruments: City of Bones	Action	6.2	90565421	2013-08-21
The Mummy Returns	Action	6	433013274	2001-05-04
The Net	Action	5.6	110627965	1995-07-28
The Newton Boys	Action	5.9	76000000	1998-03-27
The November Man	Action	6	32556119	2014-08-27
The One	Action	5.7	72700000	2001-11-02
The Other Guys	Action	6.1	170432927	2010-08-06
The Pacifier	Action	5.8	113006880	2005-03-04
The Patriot	Action	6.8	215294342	2000-06-28
The Perfect Storm	Action	6.2	325756637	2000-06-30
The Phantom	Action	4.7	17300889	1996-06-07
The Postman	Action	6.1	17626234	1997-12-25
The Punisher	Action	6.1	54700105	2004-04-16
The Purge: Election Year	Action	6.1	118587880	2016-07-01
The Replacement Killers	Action	6	19204929	1998-02-06
The Rock	Action	6.9	335062621	1996-06-07
The Rookie	Action	6.5	75597042	1990-12-07
The Rundown	Action	6.4	80916492	2003-09-26
The Running Man	Action	6.4	38122105	1987-11-13
The Saint	Action	5.9	118063304	1997-04-04
The Scorpion King	Action	5.3	165333180	2002-04-19
The Sentinel	Action	5.8	77920346	2006-04-21
The Shadow	Action	5.4	48063435	1994-07-01
The Siege	Action	6	116672912	1998-11-06
The Skulls	Action	5.8	35007180	2000-03-31
The Sorcerer's Apprentice	Action	5.8	215283742	2010-07-14
The Specialist	Action	5.5	170362582	1994-10-07
The Spirit	Action	4.7	39031337	2008-12-25
The Spy Next Door	Action	5.5	45236543	2010-01-15
The Sum of All Fears	Action	5.9	193000000	2002-05-31
The Three Musketeers	Action	5.6	132274484	1993-11-12
The Three Musketeers	Action	5.6	132274484	2011-10-21
The Time Machine	Action	5.8	123729176	2002-03-08
The Tourist	Action	6	278731369	2010-12-10
The Transporter	Action	6.6	43928932	2002-10-11
The Warrior's Way	Action	6.3	11087569	2010-12-03
The Watch	Action	5.3	68267862	2012-07-27
The Wolverine	Action	6.3	415440673	2013-07-26
The World Is Not Enough	Action	6	361832400	1999-11-19
The World's End	Action	6.7	46089287	2013-08-23
The Wraith	Action	5.9	3500000	1986-11-21
They Live	Action	7.1	13008928	1988-11-04
This Means War	Action	5.9	156974557	2012-02-17
Thor	Action	6.6	449326618	2011-05-06
Thor: The Dark World	Action	6.8	644571402	2013-11-08
Three Kings	Action	6.6	108000000	1999-10-01
Thunderbirds	Action	4.2	28283637	2004-07-30
Timeline	Action	5.4	19480739	2003-11-26
Tombstone	Action	7.4	56505065	1993-12-25
Tomorrow Never Dies	Action	6	333011068	1997-12-19
Tomorrowland	Action	6.2	209154322	2015-05-22
Top Gun	Action	6.7	356830601	1986-05-16
Torque	Action	4.7	46546197	2004-01-16
Total Recall	Action	7.1	261317921	2012-08-03
Tower Heist	Action	5.8	152930623	2011-11-04
Transformers	Action	6.6	709709780	2007-07-03
Transformers: Age of Extinction	Action	5.8	1091405097	2014-06-27
Transformers: Dark of the Moon	Action	6.1	1123746996	2011-06-29
Transformers: Revenge of the Fallen	Action	6	836297228	2009-06-24
Transporter 2	Action	6.2	85167639	2005-09-02
Triple 9	Action	5.6	12639297	2016-02-26
TRON: Legacy	Action	6.3	400062763	2010-12-17
Tropic Thunder	Action	6.5	188072649	2008-08-13
True Lies	Action	6.8	378882411	1994-07-15
Turbulence	Action	5.2	11466088	1997-01-10
Twister	Action	6.1	494471524	1996-05-10
Ultraviolet	Action	4.8	31070211	2006-03-03
Under Siege 2: Dark Territory	Action	5.6	104324083	1995-07-14
Undercover Brother	Action	5.5	41604473	2002-05-31
Underworld	Action	6.6	95708457	2003-09-19
Underworld: Evolution	Action	6.4	111340801	2006-01-20
Underworld: Rise of the Lycans	Action	6.2	91353501	2009-01-23
Undisputed	Action	6.1	12398628	2002-08-23
Universal Soldier: The Return	Action	4.2	10667893	1999-08-20
Unknown	Action	6.5	130786397	2011-02-18
Unleashed	Action	6.6	50871113	2005-05-13
Unstoppable	Action	6.3	167805466	2010-11-12
V for Vendetta	Action	7.7	132511035	2006-03-17
Vertical Limit	Action	5.9	215663859	2000-12-08
Virtuosity	Action	5.4	24048000	1995-08-04
Walking Tall	Action	6	57223890	2004-04-02
Wanted	Action	6.4	258270008	2008-06-27
War	Action	6	40452643	2007-08-24
Watchmen	Action	7	185258983	2009-03-06
Waterworld	Action	5.9	264218220	1995-07-28
We Were Soldiers	Action	6.7	114660784	2002-03-01
White House Down	Action	6.4	205366737	2013-06-28
Whiteout	Action	5.3	12206028	2009-09-11
Wild Target	Action	6.4	3453043	2010-06-18
Wild Wild West	Action	5.1	222104681	1999-06-30
Windtalkers	Action	5.8	77628265	2002-06-14
World War Z	Action	6.7	531865000	2013-06-21
X-Men	Action	6.8	296339527	2000-07-14
X-Men Origins: Wolverine	Action	6.2	373062864	2009-05-01
X-Men: Apocalypse	Action	6.4	543934787	2016-05-27
X-Men: Days of Future Past	Action	7.5	747862775	2014-05-23
X-Men: First Class	Action	7.1	353624124	2011-06-03
xXx	Action	5.8	277448382	2002-08-09
xXx: State of the Union	Action	4.7	71073932	2005-04-29
You Don't Mess with the Zohan	Action	5.5	201596308	2008-06-06
Young Guns	Action	6.6	44726644	1988-08-12
Zathura: A Space Adventure	Action	6.1	64321501	2005-11-11
Zoom	Action	4.9	12506188	2006-08-11
Æon Flux	Action	5.4	52304001	2005-12-02
102 Dalmatians	Adventure	5.1	183611771	2000-11-22
127 Hours	Adventure	7	35692920	2011-01-28
3:10 to Yuma	Adventure	6.9	70016220	2007-09-07
A Perfect Getaway	Adventure	6.2	22852638	2009-08-07
A.I. Artificial Intelligence	Adventure	6.8	235926552	2001-06-29
Ace Ventura: When Nature Calls	Adventure	6.1	212385533	1995-11-10
Agora	Adventure	6.9	39041505	2010-09-10
Alice in Wonderland	Adventure	6.4	1025491110	2010-03-05
Alice Through the Looking Glass	Adventure	6.5	299370084	2016-05-27
Alive	Adventure	6.7	36733909	1993-01-15
Almost Famous	Adventure	7.4	47383689	2000-09-22
An Unfinished Life	Adventure	6.7	18618284	2005-09-16
Apollo 13	Adventure	7.3	355237933	1995-06-30
Are We There Yet?	Adventure	5.2	97918663	2005-01-21
Argo	Adventure	7.1	232324128	2012-10-12
Austin Powers: International Man of Mystery	Adventure	6.5	67683989	1997-05-02
Australia	Adventure	6.3	49554002	2008-11-26
Baby's Day Out	Adventure	5.8	16671505	1994-07-01
Back to the Future Part II	Adventure	7.4	332000000	1989-11-22
Back to the Future Part III	Adventure	7.1	244527583	1990-05-25
Beasts of the Southern Wild	Adventure	6.8	21107746	2013-02-14
Beverly Hills Chihuahua	Adventure	4.9	149281606	2008-10-03
Big Fat Liar	Adventure	5.6	52970014	2002-02-08
Big Fish	Adventure	7.6	122919055	2004-01-09
Bill & Ted's Excellent Adventure	Adventure	6.7	40485039	1989-02-17
Bridge to Terabithia	Adventure	7	137587063	2007-02-16
Cast Away	Adventure	7.5	429632142	2000-12-22
Catch That Kid	Adventure	4.9	16702864	2004-02-06
Charlie and the Chocolate Factory	Adventure	6.7	474968763	2005-07-15
Cheaper by the Dozen 2	Adventure	5.7	129181830	2005-12-21
City of Ember	Adventure	6.2	17869048	2008-10-10
Cold Mountain	Adventure	6.7	173013509	2003-12-25
Cool Runnings	Adventure	6.8	154864401	1993-10-01
Crocodile Dundee	Adventure	6.3	328203506	1986-09-26
Dances with Wolves	Adventure	7.6	424208848	1990-11-21
Divergent	Adventure	6.9	288747895	2014-03-21
Dogma	Adventure	6.8	30652890	1999-11-12
Dumb and Dumber To	Adventure	5.4	169837010	2014-11-14
Earth to Echo	Adventure	5.7	45300000	2014-07-02
Eight Below	Adventure	6.7	120455994	2006-02-17
Extremely Loud & Incredibly Close	Adventure	6.9	55247881	2012-01-20
Fear and Loathing in Las Vegas	Adventure	7.2	10680275	1998-05-22
Flicka	Adventure	6.1	21000000	2006-10-20
Friday the 13th Part VIII: Jason Takes Manhattan	Adventure	4.8	14000000	1989-07-28
Fun Size	Adventure	5.5	11417362	2012-10-26
Galaxy Quest	Adventure	6.9	90683916	1999-12-25
Goosebumps	Adventure	6.2	158162788	2015-10-16
Gulliver's Travels	Adventure	4.9	237382724	2010-12-25
Harold & Kumar Escape from Guantanamo Bay	Adventure	6.2	43493123	2008-04-25
Harold & Kumar Go to White Castle	Adventure	6.6	23936908	2004-07-30
Harry Potter and the Chamber of Secrets	Adventure	7.4	876688482	2002-11-15
Harry Potter and the Goblet of Fire	Adventure	7.5	895921036	2005-11-18
Harry Potter and the Half-Blood Prince	Adventure	7.4	933959197	2009-07-15
Harry Potter and the Order of the Phoenix	Adventure	7.4	938212738	2007-07-11
Harry Potter and the Prisoner of Azkaban	Adventure	7.7	789804554	2004-06-04
Herbie Fully Loaded	Adventure	5.1	66002004	2005-06-22
Home Alone 2: Lost in New York	Adventure	6.3	358991681	1992-11-20
Hook	Adventure	6.6	300854823	1991-12-11
Hugo	Adventure	7	185770160	2011-11-23
Inglourious Basterds	Adventure	7.9	319131050	2009-08-21
Interstellar	Adventure	8.1	675120017	2014-11-07
Into the Wild	Adventure	7.8	56255142	2007-10-19
Into the Woods	Adventure	5.6	212902372	2014-12-25
Jack the Giant Slayer	Adventure	5.5	197687603	2013-03-01
Jaws: The Revenge	Adventure	3.5	51881013	1987-07-17
Joe Dirt	Adventure	5.5	30987695	2001-04-11
Jurassic Park	Adventure	7.6	920100000	1993-06-11
Land of the Lost	Adventure	5.3	68688831	2009-06-05
Life of Pi	Adventure	7.2	609016565	2012-11-21
Max	Adventure	6.8	43967255	2015-06-26
Meet Dave	Adventure	5	50650079	2008-07-11
Men in Black	Adventure	6.9	589390539	1997-07-02
Mirror Mirror	Adventure	5.5	183018522	2012-03-30
Mirrormask	Adventure	6.6	866999	2006-03-03
Mission to Mars	Adventure	5.7	60874615	2000-03-10
Mongol: The Rise of Genghis Khan	Adventure	6.5	26527510	2008-07-04
Moonrise Kingdom	Adventure	7.6	68263166	2012-06-29
Muppets from Space	Adventure	5.8	16290976	1999-07-14
Muppets Most Wanted	Adventure	6.2	80383290	2014-03-21
My Name Is Khan	Adventure	7.7	42345360	2010-02-12
Nebraska	Adventure	7.4	17654912	2014-01-24
Nerve	Adventure	7.1	83707310	2016-07-27
Night at the Museum	Adventure	6.3	574480841	2006-12-22
Night at the Museum: Battle of the Smithsonian	Adventure	5.9	413106170	2009-05-22
Night at the Museum: Secret of the Tomb	Adventure	6.1	349424282	2014-12-19
Nim's Island	Adventure	5.6	100076342	2008-04-04
"O Brother, Where Art Thou?"	Adventure	7.3	71868327	2001-02-02
On the Road	Adventure	5.5	8784318	2012-05-23
Open Water	Adventure	5.4	54667954	2004-08-20
Pan	Adventure	5.9	128388320	2015-10-09
Paul	Adventure	6.5	97552050	2011-03-18
Percy Jackson & the Olympians: The Lightning Thief	Adventure	6	226497209	2010-02-12
Percy Jackson: Sea of Monsters	Adventure	5.9	174578751	2013-08-07
Prometheus	Adventure	6.3	403170142	2012-06-08
Racing Stripes	Adventure	5.1	93772522	2005-01-14
Rat Race	Adventure	6	85498534	2001-08-17
Rescue Dawn	Adventure	6.9	7177143	2007-07-27
Return to the Blue Lagoon	Adventure	5.1	2807854	1991-08-02
Road Trip	Adventure	5.9	119754278	2000-05-19
Rob Roy	Adventure	6.5	31596911	1995-04-14
Sanctum	Adventure	5.8	108609310	2011-02-04
Seeking a Friend for the End of the World	Adventure	6.3	9636289	2012-06-22
Seven Years in Tibet	Adventure	7	131457682	1997-10-10
Sex Drive	Adventure	6	18755936	2008-10-17
Sky High	Adventure	5.8	86369815	2005-07-29
Spaceballs	Adventure	6.7	38119483	1987-06-24
Spaced Invaders	Adventure	4.7	15369573	1990-04-27
Stand by Me	Adventure	7.8	52287414	1986-08-22
Star Trek IV: The Voyage Home	Adventure	6.9	133000000	1986-11-26
Stardust	Adventure	7.1	135560026	2007-08-10
Super Mario Bros.	Adventure	4	20915465	1993-05-28
The Abyss	Adventure	7.1	90000098	1989-08-09
The Astronaut Farmer	Adventure	6.2	11130889	2007-02-23
The Beach	Adventure	6.3	144056873	2000-02-11
The BFG	Adventure	6	183345589	2016-07-01
The Brothers Bloom	Adventure	6.8	5530764	2009-06-19
The Brothers Grimm	Adventure	5.6	105316267	2005-08-26
The Bucket List	Adventure	7	175372502	2008-01-11
The Cave	Adventure	5.1	15007991	2005-08-26
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"	Adventure	6.7	748806957	2005-12-09
The Chronicles of Narnia: The Voyage of the Dawn Treader	Adventure	6.2	415686217	2010-12-10
The East	Adventure	6.5	2401510	2013-06-28
The Four Feathers	Adventure	6.5	29882645	2002-09-20
The Golden Compass	Adventure	5.8	372234864	2007-12-07
The Grand Budapest Hotel	Adventure	8	174600318	2014-03-28
The Green Inferno	Adventure	5	6833445	2015-09-25
The Hitchhiker's Guide to the Galaxy	Adventure	6.6	104478416	2005-04-29
The Hobbit: An Unexpected Journey	Adventure	7	1021103568	2012-12-14
The Hobbit: The Battle of the Five Armies	Adventure	7.1	956019788	2014-12-17
The Hobbit: The Desolation of Smaug	Adventure	7.6	958400000	2013-12-13
The Hunger Games	Adventure	6.9	691210692	2012-03-23
The Imaginarium of Doctor Parnassus	Adventure	6.3	64352607	2010-01-08
The Incredible Burt Wonderstone	Adventure	5.3	27437881	2013-03-15
The Jungle Book	Adventure	6.7	966550600	2016-04-15
The Life Aquatic with Steve Zissou	Adventure	7.1	34808403	2004-12-25
The Little Vampire	Adventure	6.1	13555988	2000-10-27
The Lord of the Rings: The Fellowship of the Ring	Adventure	8	871368364	2001-12-19
The Lord of the Rings: The Return of the King	Adventure	8.1	1118888979	2003-12-17
The Lord of the Rings: The Two Towers	Adventure	8	926287400	2002-12-18
The Martian	Adventure	7.6	630161890	2015-10-02
The Messenger: The Story of Joan of Arc	Adventure	6.2	66976317	1999-11-12
The Mexican	Adventure	5.8	147845033	2001-03-02
The Muppets	Adventure	6.5	165184237	2011-11-23
The Other Side of Heaven	Adventure	6.7	4720371	2002-04-12
The Princess Bride	Adventure	7.6	30857814	1987-10-09
The Road	Adventure	6.8	27635305	2009-12-18
The Secret Life of Walter Mitty	Adventure	7	188133322	2013-12-25
The Spiderwick Chronicles	Adventure	6.3	162839667	2008-02-14
The Twilight Saga: Breaking Dawn - Part 2	Adventure	6.1	829000000	2012-11-16
The Twilight Saga: Eclipse	Adventure	5.8	698491347	2010-06-30
The Twilight Saga: New Moon	Adventure	5.6	709827462	2009-11-20
The Walk	Adventure	6.9	61181942	2015-10-09
Transamerica	Adventure	6.9	13350369	2006-03-03
True Grit	Adventure	7.2	252276927	2010-12-22
Vacation	Adventure	6.2	104384188	2015-07-29
Vampires Suck	Adventure	4.2	80547866	2010-08-18
War of the Worlds	Adventure	6.2	591739379	2005-06-29
White Fang	Adventure	6.5	34793160	1991-01-18
White Squall	Adventure	6.3	10300000	1996-02-02
Wild	Adventure	7	52501541	2014-12-19
Without a Paddle	Adventure	5.3	69631118	2004-08-20
Wyatt Earp	Adventure	6.5	25052000	1994-06-24
Y Tu Mamá También	Adventure	7.3	33616692	2002-04-26
Year One	Adventure	4.6	62357900	2009-06-19
Your Highness	Adventure	5.2	26121638	2011-04-08
Zombieland	Adventure	7.2	102391382	2009-10-02
9	Animation	6.6	48428063	2009-09-09
A Bug's Life	Animation	6.8	363258859	1998-11-25
A Christmas Carol	Animation	6.6	325233863	2009-11-06
A Scanner Darkly	Animation	6.8	7659918	2006-07-28
Aladdin	Animation	7.4	504050219	1992-11-25
Aliens in the Attic	Animation	5.3	57881056	2009-07-31
Alpha and Omega	Animation	5.3	39300000	2010-09-17
Alvin and the Chipmunks	Animation	5.5	361366633	2007-12-14
Alvin and the Chipmunks: Chipwrecked	Animation	5.4	342695435	2011-12-16
Alvin and the Chipmunks: The Squeakquel	Animation	5.4	443140005	2009-12-23
Anastasia	Animation	7.4	139804348	1997-11-21
Anomalisa	Animation	7	5659286	2016-02-05
Antz	Animation	6	171757863	1998-10-02
Arthur and the Invisibles	Animation	6	107944236	2007-01-12
Astro Boy	Animation	6.1	44091067	2009-10-23
Atlantis: The Lost Empire	Animation	6.7	186053725	2001-06-15
Bee Movie	Animation	5.7	287594577	2007-11-02
Beowulf	Animation	5.5	195735876	2007-11-16
Big Hero 6	Animation	7.8	652105443	2014-11-07
Bolt	Animation	6.3	309979994	2008-11-21
Brave	Animation	6.7	538983207	2012-06-22
Cars	Animation	6.6	461983149	2006-06-09
Cars 2	Animation	5.8	559852396	2011-06-24
Cats Don't Dance	Animation	7.1	3566637	1997-03-26
Chicken Little	Animation	5.6	314432665	2005-11-04
Chicken Run	Animation	6.5	224834564	2000-06-23
Cloudy with a Chance of Meatballs	Animation	6.5	242988466	2009-09-18
Cloudy with a Chance of Meatballs 2	Animation	6.4	248384621	2013-09-27
Coraline	Animation	7.3	124596398	2009-02-06
Corpse Bride	Animation	7.2	117195061	2005-09-23
Curious George	Animation	6.2	69834815	2006-02-10
Despicable Me	Animation	7.1	543513985	2010-07-09
Despicable Me 2	Animation	7	970761885	2013-07-03
Dinosaur	Animation	6.2	354248063	2000-05-19
Enchanted	Animation	6.6	340487652	2007-11-21
Epic	Animation	6.4	268426634	2013-05-24
Fantasia 2000	Animation	7	90874570	2000-06-16
Fantastic Mr. Fox	Animation	7.5	46471023	2009-11-25
Final Fantasy: The Spirits Within	Animation	5.9	85131830	2001-07-11
Finding Nemo	Animation	7.6	940335536	2003-05-30
Flushed Away	Animation	6	64459316	2006-11-03
Frankenweenie	Animation	6.6	35287788	2012-10-05
Frozen	Animation	7.3	1274219009	2013-11-27
G-Force	Animation	5.1	292817841	2009-07-24
Garfield	Animation	5.2	200804534	2004-06-11
Happy Feet	Animation	5.9	384335608	2006-11-17
Happy Feet Two	Animation	5.8	150406466	2011-11-18
Hercules	Animation	5.6	243400000	1997-06-27
Home	Animation	6.8	368871007	2015-03-27
Home on the Range	Animation	5.7	103951461	2004-04-02
Hoodwinked!	Animation	5.9	51053787	2006-01-13
Hop	Animation	5.5	183953723	2011-04-01
Hotel Transylvania	Animation	6.8	358375603	2012-09-28
Hotel Transylvania 2	Animation	6.7	473226958	2015-09-25
How to Train Your Dragon	Animation	7.5	494878759	2010-03-26
How to Train Your Dragon 2	Animation	7.6	609123048	2014-06-13
Howl's Moving Castle	Animation	8.2	234710455	2005-06-17
Ice Age	Animation	7.1	383257136	2002-03-15
Ice Age: Continental Drift	Animation	6.2	877244782	2012-07-13
Ice Age: Dawn of the Dinosaurs	Animation	6.5	886686817	2009-07-01
Ice Age: The Meltdown	Animation	6.5	660940780	2006-03-31
Inside Out	Animation	8	857611174	2015-06-19
Jimmy Neutron: Boy Genius	Animation	5.6	80936232	2001-12-21
Kung Fu Panda	Animation	6.9	631744560	2008-06-06
Kung Fu Panda 2	Animation	6.7	665692281	2011-05-26
Kung Fu Panda 3	Animation	6.7	521170825	2016-01-29
Legend of the Guardians: The Owls of Ga'Hoole	Animation	6.5	140073390	2010-09-24
Lilo & Stitch	Animation	7.1	145771527	2002-06-21
Looney Tunes: Back in Action	Animation	5.6	68514844	2003-11-14
Madagascar	Animation	6.6	532680671	2005-05-27
Madagascar 3: Europe's Most Wanted	Animation	6.4	746921274	2012-06-08
Madagascar: Escape 2 Africa	Animation	6.2	603900354	2008-11-07
Megamind	Animation	6.7	321887208	2010-11-05
Minions	Animation	6.4	1156730962	2015-07-10
Monkeybone	Animation	4.3	5409517	2001-02-23
Monster House	Animation	6.3	140175006	2006-07-21
Monsters University	Animation	7	743559607	2013-06-21
"Monsters, Inc."	Animation	7.5	562816256	2001-11-02
Mr. Peabody & Sherman	Animation	6.7	272912430	2014-03-07
Mulan	Animation	7.6	304320254	1998-06-19
Open Season	Animation	6.1	197309027	2006-09-29
Osmosis Jones	Animation	5.9	13596911	2001-08-10
Over the Hedge	Animation	6.3	343397247	2006-05-19
Paddington	Animation	7	259207227	2015-01-16
ParaNorman	Animation	6.7	107139399	2012-08-17
Penguins of Madagascar	Animation	6.5	373552094	2014-11-26
Pocahontas	Animation	6.7	346079773	1995-06-23
Ponyo	Animation	7.5	187479518	2009-08-14
Rango	Animation	6.6	245724603	2011-03-04
Ratatouille	Animation	7.5	623722818	2007-06-29
Recess: School's Out	Animation	6.6	44460850	2001-02-16
Rio	Animation	6.5	484635760	2011-04-15
Rio 2	Animation	6.3	500188435	2014-04-11
Rise of the Guardians	Animation	7.1	306941670	2012-11-21
Robots	Animation	6	260696994	2005-03-11
Sausage Party	Animation	5.6	140752617	2016-08-12
Scooby-Doo	Animation	5.4	275650703	2002-06-14
Shark Tale	Animation	5.8	367275019	2004-10-01
Shrek	Animation	7.3	484409218	2001-05-18
Shrek 2	Animation	6.7	919838758	2004-05-19
Shrek Forever After	Animation	6	752600867	2010-05-21
Shrek the Third	Animation	6	798958165	2007-05-18
Sinbad: Legend of the Seven Seas	Animation	6.6	26288320	2003-07-02
Space Jam	Animation	6.5	250200000	1996-11-15
Spirit: Stallion of the Cimarron	Animation	7.4	122563539	2002-05-24
Spirited Away	Animation	8.3	274925095	2003-03-28
Stuart Little 2	Animation	5.4	169956806	2002-07-19
Surf's Up	Animation	5.9	149044513	2007-06-08
Tangled	Animation	7.4	591794936	2010-11-24
The Adventures of Rocky & Bullwinkle	Animation	3.9	35134820	2000-06-30
The Adventures of Tintin	Animation	6.7	371940071	2011-12-21
The Angry Birds Movie	Animation	5.9	349779543	2016-05-20
The Ant Bully	Animation	5.5	55181129	2006-07-28
The Book of Life	Animation	7.3	97437106	2014-10-17
The Boxtrolls	Animation	6.6	108255770	2014-09-26
The Croods	Animation	6.8	585178928	2013-03-22
The Curse of the Were-Rabbit	Animation	6.8	192452832	2005-10-07
The Emperor's New Groove	Animation	7.2	169327687	2000-12-15
The Good Dinosaur	Animation	6.6	331926147	2015-11-25
The Hunchback of Notre Dame	Animation	6.8	100138851	1996-06-21
The Incredibles	Animation	7.4	631442092	2004-11-05
The Iron Giant	Animation	7.6	23159305	1999-08-06
The Jungle Book 2	Animation	5.6	135680000	2003-02-14
The Land Before Time	Animation	7	84460846	1988-11-18
The Lego Movie	Animation	7.5	469160692	2014-02-07
The Lion King	Animation	8	788241776	1994-06-24
The Peanuts Movie	Animation	6.5	246233113	2015-11-06
The Polar Express	Animation	6.4	305875730	2004-11-10
The Prince of Egypt	Animation	6.8	218613188	1998-12-18
The Princess and the Frog	Animation	6.7	267045765	2009-12-11
The Road to El Dorado	Animation	7	76432727	2000-03-31
The Rugrats Movie	Animation	5.7	100491683	1998-11-20
The Simpsons Movie	Animation	6.9	527068851	2007-07-27
The Smurfs	Animation	5.5	563749323	2011-07-29
The Smurfs 2	Animation	5.5	347434178	2013-07-31
The SpongeBob Movie: Sponge Out of Water	Animation	5.8	311594032	2015-02-06
The SpongeBob SquarePants Movie	Animation	6.7	140161792	2004-11-19
The Tale of Despereaux	Animation	5.8	50877145	2008-12-19
The Thief and the Cobbler	Animation	6.8	669276	1995-08-25
The Tigger Movie	Animation	6.3	45554533	2000-02-11
The Triplets of Belleville	Animation	7.3	1477676	2004-02-13
Titan A.E.	Animation	6.3	36754634	2000-06-16
Toy Story	Animation	7.7	373554033	1995-11-22
Toy Story 2	Animation	7.3	497366869	1999-11-24
Toy Story 3	Animation	7.6	1066969703	2010-06-18
Treasure Planet	Animation	7.2	109578115	2002-11-27
Turbo	Animation	6.1	282570682	2013-07-17
Up	Animation	7.7	735099082	2009-05-29
Valiant	Animation	5.2	19478106	2005-08-19
WALL·E	Animation	7.8	521311860	2008-06-27
Waltz with Bashir	Animation	7.8	11125849	2009-07-15
Winnie the Pooh	Animation	6.8	14460000	2011-07-15
Wreck-It Ralph	Animation	7.1	471222889	2012-11-02
Yogi Bear	Animation	5.2	201584141	2010-12-17
12 Years a Slave	Biography	7.9	187000000	2013-11-08
A Beautiful Mind	Biography	7.7	313542341	2002-01-04
A Mighty Heart	Biography	6.7	18928871	2007-06-22
Ali	Biography	6.7	87713825	2001-12-25
American Gangster	Biography	7.4	266465037	2007-11-02
Antwone Fisher	Biography	6.7	23367586	2003-01-10
Auto Focus	Biography	6.1	2062066	2002-11-01
Basquiat	Biography	6.6	3011195	1996-08-09
Becoming Jane	Biography	6.9	37311672	2007-08-10
Bernie	Biography	6.5	9206470	2012-06-22
Big Eyes	Biography	6.8	28883511	2014-12-25
Big Miracle	Biography	6.6	24719215	2012-02-03
Black Mass	Biography	6.3	98837872	2015-09-18
Blow	Biography	7.4	83282296	2001-04-06
Born on the Fourth of July	Biography	6.7	161001698	1990-01-05
